URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://w3id.org/coso/v1/contaminoso#AggregateContaminantMeasurement,Aggregate Contaminant Measurement,"The result of an observation about contaminant(s) that is an aggregate measurement. This can be a spatial, temporal or contaminant aggregate.",Class,,,
http://w3id.org/coso/v1/contaminoso#AirSample,Air Sample,An air sample collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#AnalysisMethod,Analysis Method,The analysis method used to identify the contaminant.,Class,,,
http://w3id.org/coso/v1/contaminoso#AnimalBloodSample,Animal Blood Sample,A blood sample taken from an animal for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#AnimalMaterialSample,Animal Material Sample,A sample of animal-derived material collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#AnimalMilkSample,Animal Milk Sample,A milk sample from an animal collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#AnimalOrganSample,Animal Organ Sample,An organ sample taken from an animal for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#AnimalTissueSample,Animal Tissue Sample,A tissue sample taken from an animal for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#BiotaSample,Biota Sample,A sample of living organisms (biota) collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantAbsoluteMeasurement,Contaminant Absolute Measurement,The result of an observation about a contaminant that is an absolute measurement. Declared in the schema but not populated in the current release.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantAbsoluteQuantityKind,Contaminant Absolute Quantity Kind,"A type of contaminant quantity that is an absolute amount, such as a mass or volume.",Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantConcentrationQuantityKind,Contaminant Concentration Quantity Kind,A type of contaminant quantity that is a concentration measurement.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantMassQuantityKind,Contaminant Quantity Kind,The type of quantity that is measured for the contaminant. Declared in the schema but not populated in the current release.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantMeasurement,Contaminant Measurement,The result of an observation about a contaminant or contaminants.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantObservation,Contaminant Observation,An observation of a contaminant.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantRelativeMeasurement,Contaminant Relative Measurement,The result of an observation about a contaminant that is a relative measurement.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantRelativeQuantityKind,Contaminant Relative Quantity Kind,"A type of contaminant quantity that is a relative amount, such as a concentration.",Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantReleaseObservation,Contaminant Release Observation,An observation of a contaminant that was released into the environment. Declared in the schema but not populated in the current release.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantSampleObservation,Contaminant Sample Observation,An observation of a contaminant that was sampled from the environment.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminantVolumeQuantityKind,Contaminant Volume Quantity Kind,A type of contaminant quantity that is a volume measurement.,Class,,,
http://w3id.org/coso/v1/contaminoso#ContaminationProperty,Contamination Property,An observable quality of a feature related to its contamination.,Class,,,
http://w3id.org/coso/v1/contaminoso#DetectQuantityValue,Detect Quantity Value,A Quantity Value that represents a detection of the contaminant.,Class,,,
http://w3id.org/coso/v1/contaminoso#DetectionLimit,Detection Limit,The lowest concentration of a substance that can be reliably detected as present with a reasonable degree of confidence.,Class,,,
http://w3id.org/coso/v1/contaminoso#DrinkingWaterSample,Drinking Water Sample,A drinking-water sample collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#Feature,Feature,The discrete spatial phenomenon that is the target of the observation.,Class,,,
http://w3id.org/coso/v1/contaminoso#FeatureType,Feature Type,A category applied to differentiate discrete spatial phenomenon.,Class,,,
http://w3id.org/coso/v1/contaminoso#FilteredWaterSample,Filtered Water Sample,A filtered-water sample collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#GroundWaterSample,Ground Water Sample,A groundwater sample collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#MaterialSample,Material Sample,"A physical, tangible sample.",Class,,,
http://w3id.org/coso/v1/contaminoso#MonitoredFeature,Monitored Feature,The discrete spatial phenomenon that is the target of a release observation due to environmental monitoring. Declared in the schema but not populated in the current release.,Class,,,
http://w3id.org/coso/v1/contaminoso#NonDetectQuantityValue,Non-Detect Quantity Value,A Quantity Value that represents a non-detection of the contaminant. No numeric value is specified.,Class,,,
http://w3id.org/coso/v1/contaminoso#ObservationAnnotation,Observation Annotation,Metadata that qualifies an observation,Class,,,
http://w3id.org/coso/v1/contaminoso#PlantAbovegroundSample,Plant Aboveground Sample,An aboveground plant-material sample collected for contaminant analysis.,Class,,,
http://w3id.org/coso/v1/contaminoso#PlantMaterialSample,Plant Material Sample,A sample of plant material collected for contaminant analysis.,Class,,,
