URI,Label,Description
http://w3id.org/fio/v1/epa-frs#Agency,Agency,Federal Agency as identified in EPA Facility Registry Service
http://w3id.org/fio/v1/epa-frs#Agency.Agriculture,Agriculture,"U.S. Department of Agriculture - manages programs related to farming, forestry, and food safety"
http://w3id.org/fio/v1/epa-frs#Agency.Commerce,Commerce,U.S. Department of Commerce - oversees business and trade-related environmental programs
http://w3id.org/fio/v1/epa-frs#Agency.Congress,Congress,U.S. Congress - legislative branch oversight and environmental legislation
http://w3id.org/fio/v1/epa-frs#Agency.Defense,Defense,U.S. Department of Defense - manages environmental programs on military installations
http://w3id.org/fio/v1/epa-frs#Agency.Energy,Energy,U.S. Department of Energy - oversees energy production and nuclear facility environmental programs
http://w3id.org/fio/v1/epa-frs#Agency.HealthandHumanServices,Health and Human Services,U.S. Department of Health and Human Services - manages health and environmental safety programs
http://w3id.org/fio/v1/epa-frs#Agency.HomelandSecurity,Homeland Security,U.S. Department of Homeland Security - coordinates security-related environmental programs
http://w3id.org/fio/v1/epa-frs#Agency.HousingandUrbanDevelopment,Housing and Urban Development,U.S. Department of Housing and Urban Development - manages urban environmental and housing programs
http://w3id.org/fio/v1/epa-frs#Agency.Interior,Interior,U.S. Department of the Interior - manages natural resources and public lands
http://w3id.org/fio/v1/epa-frs#Agency.Judicial,Judicial,U.S. Judicial Branch - federal courts with jurisdiction over environmental law
http://w3id.org/fio/v1/epa-frs#Agency.Justice,Justice,U.S. Department of Justice - enforces environmental laws and regulations
http://w3id.org/fio/v1/epa-frs#Agency.Labor,Labor,U.S. Department of Labor - oversees workplace safety and health programs
http://w3id.org/fio/v1/epa-frs#Agency.State,State,U.S. Department of State - coordinates international environmental agreements
http://w3id.org/fio/v1/epa-frs#Agency.Transportation,Transportation,U.S. Department of Transportation - regulates transportation-related environmental impacts
http://w3id.org/fio/v1/epa-frs#Agency.Treasury,Treasury,U.S. Department of the Treasury - manages financial aspects of environmental programs
http://w3id.org/fio/v1/epa-frs#Agency.VeteransAffairs,Veterans Affairs,U.S. Department of Veterans Affairs - manages environmental programs at VA facilities
http://w3id.org/fio/v1/epa-frs#AirProgram,AIR PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT REGULATE OR MONITOR AIR EMISSIONS FROM AREA, STATIONARY, AND MOBILE SOURCES, AS REQUIRED BY THE CLEAN AIR ACT"
http://w3id.org/fio/v1/epa-frs#AnimalOperation,ANIMAL OPERATIONS,ENVIRONMENTAL PROGRAMS RELATED TO ANIMAL OPERATIONS E.G LIVESTOCK WASTE CONTROL
http://w3id.org/fio/v1/epa-frs#AssistanceSupportProgram,ASSISTANCE AND SUPPORT PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT PROVIDE ASSISTANCE TO THE REGULATED COMMUNITY AND THE GENERAL PUBLIC (E.G., ENVIRONMENTAL GRANTS, OUTREACH ACTIVITIES) OR ACTIVITIES THAT PROVIDE SUPPORT ACROSS ENVIRONMENTAL PROGRAMS."
http://w3id.org/fio/v1/epa-frs#ChemicalReleaseProgram,CHEMICAL RELEASE PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT REGULATE OR MONITOR CHEMICALS RELEASED TO THE ENVIRONMENT (E.G., TOXIC RELEASE INVENTORY, RELEASE ASSESSMENTS)."
http://w3id.org/fio/v1/epa-frs#ChemicalStorageProgram,CHEMICAL STORAGE PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT REGULATE OR MONITOR THE STORAGE OF CHEMICALS (E.G., RISK MANAGEMENT PROGRAM, SUPERFUND AMENDMENTS AND REAUTHORIZATION ACT (SARA) TITLE III PROGRAM)."
http://w3id.org/fio/v1/epa-frs#CoastalOceanProgram,COASTAL AND OCEAN PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT IMPROVE THE QUALITY OF COASTAL AND MARINE ECOSYSTEMS AND PROTECT BEACHES, COAST, AND OCEAN RESOURCES FROM POLLUTION."
http://w3id.org/fio/v1/epa-frs#ComplianceInterest,Compliance Interest,Environmental interest classification for compliance-related activities and records
http://w3id.org/fio/v1/epa-frs#ComplianceRecord,Compliance Record,A record documenting compliance status and history for a facility
http://w3id.org/fio/v1/epa-frs#ComplianceSystem,Compliance System,Information system for tracking facility compliance with environmental regulations
http://w3id.org/fio/v1/epa-frs#DrinkingWaterProgram,DRINKING WATER PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT PROTECT THE QUALITY OF DRINKING WATER IN THE UNITED STATES, AS REQUIRED BY THE SAFE DRINKING WATER ACT."
http://w3id.org/fio/v1/epa-frs#EPA-PFAS-Facility,EPA PFAS Facility,Facility identified as potentially handling PFAS in EPA PFAS Analytic tools based on industry.
http://w3id.org/fio/v1/epa-frs#EcologyOperation,ECOLOGY OPERATIONS,PROGRAMS THAT CONCENTRATE ON ECOLOGICAL SYSTEMS SUCH AS FOREST AND TREE EXPERTISE
http://w3id.org/fio/v1/epa-frs#ElectronicPermitSystem,ELECTRONIC PERMIT SYSTEM,ELECTRONIC PERMIT SYSTEM
http://w3id.org/fio/v1/epa-frs#EnforcementActivity,Enforcement or Compliance record,"A record that tracks a specific legal, corrective or assistance action taken against a facility"
http://w3id.org/fio/v1/epa-frs#EnforcementInterest,Enforcement Interest,Environmental interest classification for enforcement-related activities
http://w3id.org/fio/v1/epa-frs#EnforcementSystem,Enforcement System,Information system for tracking environmental enforcement actions
http://w3id.org/fio/v1/epa-frs#EnforcementTrackingRecord,Enforcement Tracking Record,A record tracking enforcement actions and their outcomes
http://w3id.org/fio/v1/epa-frs#EnvironmentalInterestByProgram,Environmental Interest By Program,Classification of environmental interests organized by regulatory program type
http://w3id.org/fio/v1/epa-frs#EnvironmentalInterestByRecordType,Environmental Interest By Record Type,Interest classification based on the main subject of the record and what type of activity or entity it identifies.
http://w3id.org/fio/v1/epa-frs#EnvironmentalInterestType,Environmental Interest Type,The environmental permit or regulatory program type that applies to the facility site
http://w3id.org/fio/v1/epa-frs#FRS-Facility,FRS Facility,Facility from EPA Facility Registry Service
http://w3id.org/fio/v1/epa-frs#FacilitySiteIdentification,FACILITY/SITE IDENTIFICATION,"INCLUDES SYSTEMS THAT MAINTAIN BASIC IDENTIFICATION INFORMATION ABOUT FACILITIES/SITES AND LINKAGES TO ENVIRONMENTAL PERMITS AND PROGRAMS AT THE STATE, TRIBAL AND NATIONAL LEVEL."
http://w3id.org/fio/v1/epa-frs#FacilityType,Facility Type,Type of Facility as defined by EPA FRS facility type controlled vocabulary
http://w3id.org/fio/v1/epa-frs#GrantSystem,Grant System,Information system for tracking environmental grants and funding
